#{"t_start": 1751032085.9401686, "env_id": "None"}
r,l,t
128.09,50,28.629017
123.91,50,28.649289
127.24,50,28.666477
121.08,50,28.683666
127.98,50,28.701919
126.1,50,28.72053
125.78,50,28.737331
127.31,50,28.754077
127.15,50,28.772803
123.41,50,28.791997
117.86,50,28.813576
126.36,50,28.833576
129.05,50,28.853578
124.67,50,29.579209
129.44,50,29.59822
14.18,6,29.601224
126.33,50,29.620224
125.16,50,29.639532
131.83,50,29.658503
127.52,50,29.677502
128.94,50,29.696502
130.72,50,29.715485
126.65,50,29.735304
118.93,50,29.754303
130.83,50,29.773302
125.39,50,29.792304
129.26,50,29.811304
123.93,50,29.832303
116.62,50,29.851685
126.58,50,29.870575
126.39,50,29.889893
124.1,50,29.909499
123.66,50,29.928584
126.81,50,29.947584
124.19,50,29.966669
126.78,50,29.986673
131.39,50,30.005677
139.56,50,30.024408
130.28,50,30.043936
125.33,50,30.062936
116.85,50,30.082658
131.57,50,30.101031
120.23,50,30.120946
125.09,50,30.139946
126.94,50,30.158463
122.12,50,30.178235
124.37,50,30.197218
121.6,50,30.215653
124.3,50,30.234706
125.6,50,30.253825
129.19,50,30.273482
121.23,50,30.292494
117.03,50,30.311627
126.83,50,30.330627
130.48,50,30.349926
133.51,50,31.073681
131.14,50,31.095466
127.81,50,31.116465
127.68,50,31.136443
121.59,50,31.156444
136.57,50,31.176444
125.88,50,31.195445
131.98,50,31.215909
128.55,50,31.236178
133.41,50,31.256189
126.33,50,31.277191
133.72,50,31.296189
128.75,50,31.317206
132.93,50,31.336206
120.87,50,31.355206
125.02,50,31.375206
124.68,50,31.394379
130.64,50,31.412494
139.6,50,31.432065
125.53,50,31.451728
135.02,50,31.470728
123.91,50,31.48974
129.26,50,31.508782
131.1,50,31.527782
128.6,50,31.546781
125.56,50,31.566782
125.97,50,31.58565
122.72,50,31.60465
125.23,50,31.623302
123.01,50,31.642638
123.28,50,31.661363
127.88,50,31.680517
132.73,50,31.699094
63.07,24,31.708776
126.54,50,31.727777
134.55,50,31.746776
139.87,50,31.765997
129.13,50,31.785105
122.05,50,31.804108
128.03,50,31.822908
125.9,50,31.841908
139.41,50,32.558859
135.09,50,32.577873
133.23,50,32.598552
128.02,50,32.617863
131.79,50,32.637317
131.45,50,32.655501
135.94,50,32.674502
126.48,50,32.694686
133.79,50,32.713684
136.83,50,32.73351
133.13,50,32.754222
133.13,50,32.776506
129.16,50,32.797506
129.14,50,32.817506
125.99,50,32.839506
123.86,50,32.858506
138.29,50,32.880506
121.5,50,32.901507
129.0,50,32.922506
135.88,50,32.943506
135.75,50,32.963506
126.21,50,32.984507
133.03,50,33.005585
133.77,50,33.026924
125.59,50,33.04783
130.2,50,33.069895
139.6,50,33.090901
